序号	字符	地址HEX	地址DEC	长度	宽×高
0000	" "	0000	0	16	W8×H16
0001	"!"	0010	16	16	W8×H16
0002	"""	0020	32	16	W8×H16
0003	"#"	0030	48	16	W8×H16
0004	"$"	0040	64	16	W8×H16
0005	"%"	0050	80	16	W8×H16
0006	"&"	0060	96	16	W8×H16
0007	"'"	0070	112	16	W8×H16
0008	"("	0080	128	16	W8×H16
0009	")"	0090	144	16	W8×H16
0010	"*"	00A0	160	16	W8×H16
0011	"+"	00B0	176	16	W8×H16
0012	","	00C0	192	16	W8×H16
0013	"-"	00D0	208	16	W8×H16
0014	"."	00E0	224	16	W8×H16
0015	"/"	00F0	240	16	W8×H16
0016	"0"	0100	256	16	W8×H16
0017	"1"	0110	272	16	W8×H16
0018	"2"	0120	288	16	W8×H16
0019	"3"	0130	304	16	W8×H16
0020	"4"	0140	320	16	W8×H16
0021	"5"	0150	336	16	W8×H16
0022	"6"	0160	352	16	W8×H16
0023	"7"	0170	368	16	W8×H16
0024	"8"	0180	384	16	W8×H16
0025	"9"	0190	400	16	W8×H16
0026	":"	01A0	416	16	W8×H16
0027	";"	01B0	432	16	W8×H16
0028	"<"	01C0	448	16	W8×H16
0029	"="	01D0	464	16	W8×H16
0030	">"	01E0	480	16	W8×H16
0031	"?"	01F0	496	16	W8×H16
0032	"@"	0200	512	16	W8×H16
0033	"A"	0210	528	16	W8×H16
0034	"B"	0220	544	16	W8×H16
0035	"C"	0230	560	16	W8×H16
0036	"D"	0240	576	16	W8×H16
0037	"E"	0250	592	16	W8×H16
0038	"F"	0260	608	16	W8×H16
0039	"G"	0270	624	16	W8×H16
0040	"H"	0280	640	16	W8×H16
0041	"I"	0290	656	16	W8×H16
0042	"J"	02A0	672	16	W8×H16
0043	"K"	02B0	688	16	W8×H16
0044	"L"	02C0	704	16	W8×H16
0045	"M"	02D0	720	16	W8×H16
0046	"N"	02E0	736	16	W8×H16
0047	"O"	02F0	752	16	W8×H16
0048	"P"	0300	768	16	W8×H16
0049	"Q"	0310	784	16	W8×H16
0050	"R"	0320	800	16	W8×H16
0051	"S"	0330	816	16	W8×H16
0052	"T"	0340	832	16	W8×H16
0053	"U"	0350	848	16	W8×H16
0054	"V"	0360	864	16	W8×H16
0055	"W"	0370	880	16	W8×H16
0056	"X"	0380	896	16	W8×H16
0057	"Y"	0390	912	16	W8×H16
0058	"Z"	03A0	928	16	W8×H16
0059	"["	03B0	944	16	W8×H16
0060	"]"	03C0	960	16	W8×H16
0061	"^"	03D0	976	16	W8×H16
0062	"_"	03E0	992	16	W8×H16
0063	"`"	03F0	1008	16	W8×H16
0064	"a"	0400	1024	16	W8×H16
0065	"b"	0410	1040	16	W8×H16
0066	"c"	0420	1056	16	W8×H16
0067	"d"	0430	1072	16	W8×H16
0068	"e"	0440	1088	16	W8×H16
0069	"f"	0450	1104	16	W8×H16
0070	"g"	0460	1120	16	W8×H16
0071	"h"	0470	1136	16	W8×H16
0072	"i"	0480	1152	16	W8×H16
0073	"j"	0490	1168	16	W8×H16
0074	"k"	04A0	1184	16	W8×H16
0075	"l"	04B0	1200	16	W8×H16
0076	"m"	04C0	1216	16	W8×H16
0077	"n"	04D0	1232	16	W8×H16
0078	"o"	04E0	1248	16	W8×H16
0079	"p"	04F0	1264	16	W8×H16
0080	"q"	0500	1280	16	W8×H16
0081	"r"	0510	1296	16	W8×H16
0082	"s"	0520	1312	16	W8×H16
0083	"t"	0530	1328	16	W8×H16
0084	"u"	0540	1344	16	W8×H16
0085	"v"	0550	1360	16	W8×H16
0086	"w"	0560	1376	16	W8×H16
0087	"x"	0570	1392	16	W8×H16
0088	"y"	0580	1408	16	W8×H16
0089	"z"	0590	1424	16	W8×H16
0090	"{"	05A0	1440	16	W8×H16
0091	"|"	05B0	1456	16	W8×H16
0092	"}"	05C0	1472	16	W8×H16
0093	"~"	05D0	1488	16	W8×H16
